2026-03-20 00:36:26,254 | INFO | binance_quant.ml.modeling | Evaluating model=random_forest calibration=isotonic across 2 folds
2026-03-20 00:36:26,859 | INFO | binance_quant.ml.modeling | Completed fold=0 for model=random_forest calibration=isotonic threshold=0.700 acceptance=0.149 precision=0.848 expectancy=0.02087 trades=46
2026-03-20 00:36:27,525 | INFO | binance_quant.ml.modeling | Completed fold=1 for model=random_forest calibration=isotonic threshold=0.550 acceptance=0.169 precision=0.750 expectancy=0.01852 trades=52
2026-03-20 00:36:27,575 | INFO | binance_quant.ml.modeling | Finished model=random_forest calibration=isotonic folds=2 precision=0.799 expectancy=0.01969 trades=98
2026-03-20 00:36:27,576 | INFO | binance_quant.ml.modeling | Evaluating model=xgboost calibration=platt across 2 folds
2026-03-20 00:36:27,791 | INFO | binance_quant.ml.modeling | Completed fold=0 for model=xgboost calibration=platt threshold=0.450 acceptance=0.286 precision=0.739 expectancy=0.01681 trades=88
2026-03-20 00:36:28,008 | INFO | binance_quant.ml.modeling | Completed fold=1 for model=xgboost calibration=platt threshold=0.550 acceptance=0.188 precision=0.793 expectancy=0.02060 trades=58
2026-03-20 00:36:28,010 | INFO | binance_quant.ml.modeling | Finished model=xgboost calibration=platt folds=2 precision=0.766 expectancy=0.01871 trades=146
2026-03-20 00:36:28,011 | INFO | binance_quant.ml.modeling | Evaluating model=xgboost calibration=isotonic across 2 folds
2026-03-20 00:36:28,224 | INFO | binance_quant.ml.modeling | Completed fold=0 for model=xgboost calibration=isotonic threshold=0.550 acceptance=0.175 precision=0.796 expectancy=0.02032 trades=54
2026-03-20 00:36:28,426 | INFO | binance_quant.ml.modeling | Completed fold=1 for model=xgboost calibration=isotonic threshold=0.550 acceptance=0.390 precision=0.650 expectancy=0.01287 trades=120
2026-03-20 00:36:28,442 | INFO | binance_quant.ml.modeling | Finished model=xgboost calibration=isotonic folds=2 precision=0.723 expectancy=0.01660 trades=174
2026-03-20 00:36:28,614 | INFO | binance_quant.orchestration.research_loop | Research progress stage=completed details={'status': 'needs_iteration', 'trade_count': 28.0, 'portfolio_expectancy': 0.02567205619526009}
2026-03-20 00:37:28,660 | INFO | binance_quant.orchestration.research_loop | Research progress stage=starting details={'hypothesis': 'Continuous loop iteration 124: diversified_candidates'}
2026-03-20 00:37:28,664 | INFO | binance_quant.orchestration.research_loop | Research progress stage=parity_passed details={'parity_checks': 1}
2026-03-20 00:37:29,009 | INFO | binance_quant.exchange.universe | Universe discovery found 10 eligible symbols
2026-03-20 00:37:29,025 | INFO | binance_quant.orchestration.research_loop | Research progress stage=universe_ready details={'symbol_count': 10, 'symbols': ['BTCUSDT', 'ETHUSDT', 'SOLUSDT', 'XRPUSDT', 'HYPEUSDT', 'PAXGUSDT', 'DOGEUSDT', 'ZECUSDT', 'SIRENUSDT', 'RIVERUSDT']}
2026-03-20 00:37:29,133 | INFO | binance_quant.orchestration.research_loop | Research progress stage=ingesting_market_data details={'completed_symbols': 1, 'total_symbols': 10, 'current_symbol': 'BTCUSDT'}
2026-03-20 00:37:29,237 | INFO | binance_quant.orchestration.research_loop | Research progress stage=ingesting_market_data details={'completed_symbols': 2, 'total_symbols': 10, 'current_symbol': 'ETHUSDT'}
2026-03-20 00:37:29,339 | INFO | binance_quant.orchestration.research_loop | Research progress stage=ingesting_market_data details={'completed_symbols': 3, 'total_symbols': 10, 'current_symbol': 'SOLUSDT'}
2026-03-20 00:37:29,440 | INFO | binance_quant.orchestration.research_loop | Research progress stage=ingesting_market_data details={'completed_symbols': 4, 'total_symbols': 10, 'current_symbol': 'XRPUSDT'}
2026-03-20 00:37:29,542 | INFO | binance_quant.orchestration.research_loop | Research progress stage=ingesting_market_data details={'completed_symbols': 5, 'total_symbols': 10, 'current_symbol': 'HYPEUSDT'}
2026-03-20 00:37:29,643 | INFO | binance_quant.orchestration.research_loop | Research progress stage=ingesting_market_data details={'completed_symbols': 6, 'total_symbols': 10, 'current_symbol': 'PAXGUSDT'}
2026-03-20 00:37:29,742 | INFO | binance_quant.orchestration.research_loop | Research progress stage=ingesting_market_data details={'completed_symbols': 7, 'total_symbols': 10, 'current_symbol': 'DOGEUSDT'}
2026-03-20 00:37:29,843 | INFO | binance_quant.orchestration.research_loop | Research progress stage=ingesting_market_data details={'completed_symbols': 8, 'total_symbols': 10, 'current_symbol': 'ZECUSDT'}
2026-03-20 00:37:29,940 | INFO | binance_quant.orchestration.research_loop | Research progress stage=ingesting_market_data details={'completed_symbols': 9, 'total_symbols': 10, 'current_symbol': 'SIRENUSDT'}
2026-03-20 00:37:30,046 | INFO | binance_quant.orchestration.research_loop | Research progress stage=ingesting_market_data details={'completed_symbols': 10, 'total_symbols': 10, 'current_symbol': 'RIVERUSDT'}
2026-03-20 00:37:30,046 | INFO | binance_quant.orchestration.research_loop | Research progress stage=pre_screen_started details={'template_count': 5}
2026-03-20 01:10:02,909 | INFO | binance_quant.orchestration.research_loop | Research progress stage=pre_screen_family_complete details={'completed_templates': 1, 'total_templates': 5, 'family': 'trend_ema', 'family_variant_count': 81, 'survivors_so_far': 8}
2026-03-20 01:13:15,627 | INFO | binance_quant.orchestration.research_loop | Research progress stage=pre_screen_family_complete details={'completed_templates': 2, 'total_templates': 5, 'family': 'trend_pullback', 'family_variant_count': 8, 'survivors_so_far': 8}
